Table_Ref,CollectionYearRange,Child_Age,Unit,Indicator,Value
1,2008-09,12m,%,DTaP_IPV_Hib,92.03012644915130
1,2008-09,12m,%,MenC,91.20297901482170
1,2008-09,12m,%,PCV,91.26504182360710
1,2008-09,12m,%,Rotavirus,-1.00000000000000
1,2008-09,12m,%,MenB,-1.00000000000000
1,2009-10,12m,%,DTaP_IPV_Hib,93.61114578836780
1,2009-10,12m,%,MenC,92.68207941208760
1,2009-10,12m,%,PCV,92.85053567587810
1,2009-10,12m,%,Rotavirus,-1.00000000000000
1,2009-10,12m,%,MenB,-1.00000000000000
1,2010-11,12m,%,DTaP_IPV_Hib,94.15002675925420
1,2010-11,12m,%,MenC,93.38698032564750
1,2010-11,12m,%,PCV,93.58356077463960
1,2010-11,12m,%,Rotavirus,-1.00000000000000
1,2010-11,12m,%,MenB,-1.00000000000000
1,2011-12,12m,%,DTaP_IPV_Hib,94.66758770645060
1,2011-12,12m,%,MenC,93.89373940694950
1,2011-12,12m,%,PCV,94.21624906547980
1,2011-12,12m,%,Rotavirus,-1.00000000000000
1,2011-12,12m,%,MenB,-1.00000000000000
1,2012-13,12m,%,DTaP_IPV_Hib,94.74058166894820
1,2012-13,12m,%,MenC,93.88998706308990
1,2012-13,12m,%,PCV,94.42945910981320
1,2012-13,12m,%,Rotavirus,-1.00000000000000
1,2012-13,12m,%,MenB,-1.00000000000000
1,2013-14,12m,%,DTaP_IPV_Hib,94.33724758879920
1,2013-14,12m,%,MenC,-1.00000000000000
1,2013-14,12m,%,PCV,94.07369095836130
1,2013-14,12m,%,Rotavirus,-1.00000000000000
1,2013-14,12m,%,MenB,-1.00000000000000
1,2014-15,12m,%,DTaP_IPV_Hib,94.22824601780000
1,2014-15,12m,%,MenC,-1.00000000000000
1,2014-15,12m,%,PCV,93.88439299380000
1,2014-15,12m,%,Rotavirus,-1.00000000000000
1,2014-15,12m,%,MenB,-1.00000000000000
1,2015-16,12m,%,DTaP_IPV_Hib,93.55915264685700
1,2015-16,12m,%,MenC,-1.00000000000000
1,2015-16,12m,%,PCV,93.45012874259520
1,2015-16,12m,%,Rotavirus,-1.00000000000000
1,2015-16,12m,%,MenB,-1.00000000000000
1,2016-17,12m,%,DTaP_IPV_Hib,93.40648938120380
1,2016-17,12m,%,MenC,-1.00000000000000
1,2016-17,12m,%,PCV,93.51482604527600
1,2016-17,12m,%,Rotavirus,89.64222705765570
1,2016-17,12m,%,MenB,-1.00000000000000
1,2017-18,12m,%,DTaP_IPV_Hib,93.12488076383820
1,2017-18,12m,%,MenC,-1.00000000000000
1,2017-18,12m,%,PCV,93.34684928851970
1,2017-18,12m,%,Rotavirus,90.12664015964770
1,2017-18,12m,%,MenB,92.45322157182790
1,2018-19,12m,%,DTaP_IPV_Hib,92.09286961300210
1,2018-19,12m,%,MenC,-1.00000000000000
1,2018-19,12m,%,PCV,92.75276190005760
1,2018-19,12m,%,Rotavirus,89.70490851809030
1,2018-19,12m,%,MenB,92.04625266079380
